,repo,topics
1201,turbolinks/turbolinks,"Turbolinks,Web Application Performance,Navigation Speed"
1202,apexcharts/apexcharts.js,"Interactive JavaScript Charts,SVG (Scalable Vector Graphics) "
1203,arut/nginx-rtmp-module,NGINX-based Media Streaming Server
1204,akka/akka,"Message-driven architecture,Concurrency and distribution,Resiliency on the JVM"
1205,apache/druid,"Apache Druid,high performance,real-time analytics,database"
1206,marko-js/marko,"Declarative HTML-based language,Building web applications,Ease of use and fun factor"
1207,krasimir/react-in-patterns,"Design patterns,Design techniques,React development"
1208,ajv-validator/ajv,"JSON Schema Validator,Supported JSON Schema drafts,JSON Type Definition (JTD)"
1209,diegomura/react-pdf,"Creating PDF files with React,React and PDF generation techniques,Implementing a React PDF creation feature,Utilizing React to export data as PDFs"
1210,ppy/osu,"Rhythm,Click"
1211,surmon-china/vue-awesome-swiper,"🏆 Swiper component,@vuejs"
1212,rust-lang/book,"Introduction and Installation,Guessing Game Tutorial,Common Programming Concepts,Ownership,Structs and Methods,Enums and Pattern Matching,Modules and Crates,Common Collections,Error Handling,Generic Types, Traits, and Lifetimes"
1213,auchenberg/volkswagen,"Volkswagen,Test Detection,Continuous Integration (CI),Test Passing"
1214,dotnet/efcore,"EF Core,Object-Database Mapper,LINQ queries,Change tracking,Updates,Schema migrations"
1215,tiangolo/full-stack-fastapi-postgresql,"Full stack web application generator,FastAPI framework,PostgreSQL database,Docker containerization,Automatic HTTPS implementation"
1216,jwagner/smartcrop.js,"Content-aware image cropping,Salient object detection,Image composition,Crop suggestion,Attention mechanism"
1217,facebookarchive/stetho,"Debug bridge for Android applications,Chrome Developer Tools integration"
1218,twbs/bootstrap-sass,"Official Sass port,Bootstrap 2,Bootstrap 3"
1219,unifyai/ivy,"AI Governance,AI Development,AI Operations,AI Performance,AI Leadership"
1220,aristocratos/btop,"Resource Monitoring,System Performance,Capacity Planning,Resource Allocation,Cost Optimization,Alerting and Notification,Data Visualization,Reporting and Analytics"
1221,lvgl/lvgl,"Embedded graphics library,UI creation for any MCU, MPU and display,SquareLine Studio: a drag-and-drop UI editor that is professional and affordable"
1222,cocktailpeanut/dalai,"Running LLaMA on local machine,LLaMA model,Local hardware requirements,Setting up environment,Using LLaMA locally"
1223,redux-form/redux-form,"Higher Order Component,react-redux,form state management,Redux store"
1224,vlucas/phpdotenv,"Environment variables,Automation,Dotenv file,.env file,getenv function,PHP variables ($_ENV, $_SERVER)"
1225,sidekiq/sidekiq,"Background processing for Ruby,Introduction to background processing,BackgrounDRb for background processing,Benefits of using BackgrounDRb,Setting up and configuring BackgrounDRb,Using BackgrounDRb for asynchronous tasks,Advanced features of BackgrounDRb,Conclusion and further resources"
1226,apache/predictionio,"PredictionIO,Machine Learning Server,Developers,ML Engineers"
1227,yjs/yjs,"Shared data types,Collaborative software,Building software"
1228,sqshq/piggymetrics,"Microservices,Spring Boot,Spring Cloud,Docker,Microservice Architecture"
1229,uxsolutions/bootstrap-datepicker,"datepicker,twitter bootstrap,twbs"
1230,single-spa/single-spa,"Microfrontends,Router,Modularity,Single Page Applications,Web Development,User Experience,Performance,Maintenance"
1231,phil-opp/blog_os,"Writing an OS in Rust,OS Development,Rust Programming Language,System-Level Programming,Kernel Design,Memory Management,Hardware Interaction,Process Management,Device Drivers,Security Considerations"
1232,codesandbox/codesandbox-client,"Online IDE,Rapid Web Development"
1233,vicc/chameleon,"Color framework,Swift,Objective-C,Gradient colors,Hexcode support,Colors from images"
1234,ansible/awx,"AWX,Web-based user interface,REST API,Task engine,Ansible,Red Hat Ansible Automation Platform,Upstream projects"
1235,microsoft/ai-edu,"AI education materials,Chinese students,teachers,IT professionals"
1236,php-fig/fig-standards,"Standards proposed by the Framework Interop Group,Standards approved by the Framework Interop Group"
1237,phanan/htaccess,"htaccess,snippets,useful_collection"
1238,dotnet/runtime,".NET,cross-platform runtime,cloud apps,mobile apps,desktop apps,IoT apps"
1239,rust-lang/rust-analyzer,"Rust compiler front-end,IDEs,Language Server Protocol,Syntax tree parsing,Type checking,Code completion,Error handling,Refactoring tools"
1240,apache/apisix,"Cloud-Native API Gateway,API Management,Microservices,Service Mesh,Traffic Management,Security,Observability,Scalability,Cloud Deployment"
1241,playframework/playframework,"Play Framework,Web Development,Scala,Java,HTTP,Web Applications,Modularity,Routing,Templates,Asynchronous Programming"
1242,gnab/remark,"In-browser slideshow tool,Markdown-driven,Simple and easy to use"
1243,slackhq/nebula,"Scalability,Overlay Networking,Performance Optimization,Simplicity in Design,Network Security"
1244,albumentations-team/albumentations,"image augmentation,wrapper around other libraries,documentation,research paper about the library"
1245,questdb/questdb,"open source,time-series database,fast ingest,SQL queries"
1246,mfornos/awesome-microservices,"Microservice Architecture,Principles,Technologies"
1247,leemunroe/responsive-html-email-template,"HTML email template,Simple design,Responsiveness,Freeness"
1248,s-matyukevich/raspberry-pi-os,"Operating System Development,Linux Kernel,Raspberry Pi"
1249,alibaba/hooks,"React Hooks library,Quality,Reliability"
1250,morhetz/gruvbox,"Retro groove color scheme,Vim"
1251,iv-org/invidious,"Invidious,YouTube alternative,Front-end"
1252,hyperium/hyper,"HTTP library,Rust programming language"
1253,webpack-contrib/webpack-bundle-analyzer,"Webpack plugin,CLI utility,bundle content visualization,interactive treemap representation"
1254,felipefialho/frontend-challenges,"Open-source challenges,Companies supporting open-source,Benefits of open-source contributions,Types of open-source challenges,Examples of open-source challenge initiatives"
1255,graphql/dataloader,"DataLoader,Data Fetching Layer,API,Batching,Caching"
1256,rubocop/rubocop,"Static code analysis,Code formatting,Ruby programming language,Community style guide adherence"
1257,sindresorhus/pure,"ZSH prompt,Speed and performance,Minimalism and simplicity,Aesthetics and customization"
1258,qdrant/qdrant,"Qdrant,vector database,AI applications,cloud services"
1259,guidance-ai/guidance,"Guidance language,Controlling large language models,Large language models behavior and performance"
1260,phacility/phabricator,"Phabricator,End of active maintenance"
1261,shengqiangzhang/examples-of-web-crawlers,"Python爬虫,淘宝爬虫,天猫爬虫,微信爬虫,微信读书爬虫,豆瓣爬虫,QQ爬虫"
1262,nexe/nexe,Creating an executable from Node.js applications
1263,apache/arrow,"Data interchange acceleration,In-memory data processing,Multi-language support"
1264,djsime1/awesome-flipperzero,"Flipper Zero device,Awesome resources,Collection and compilation"
1265,macrozheng/mall-learning,"mall学习教程,架构,业务,技术要点,SpringBoot 2.3.0,MyBatis 3.4.6,Elasticsearch 7.6.2,RabbitMQ 3.7.15,Redis,MongoDB 4.2.5,Mysql5.7,Docker容器化部署"
1266,zenorocha/alfred-workflows,"Alfred 3 workflows,Alfred 4 workflows"
1267,waditu/tushare,"China stocks,historical data,crawling,TuShare"
1268,drizzle-team/drizzle-orm,"TypeScript,ORM,SQL"
1269,kitao/pyxel,"Python programming language,Retro game engine development,Game engine architecture,Python gaming community"
1270,ceph/ceph,"distributed object storage,block storage,file storage,storage platform"
1271,nock/nock,"HTTP server mocking,expectations library,Node.js"
1272,mail-in-a-box/mailinabox,"Mail-in-a-Box,email control,easy deployment,SMTP and other server functionality"
1273,aidenybai/million,"Virtual DOM,React,UI Development,Performance Optimization,JavaScript Frameworks"
1274,gaearon/react-hot-loader,"Tweak React components,Real time adjustments,Fast Refresh suggestion for deprecation"
1275,docker/kitematic,"Docker Container Management,Visual Docker Management Tools,Mac Docker Management,Windows Docker Management"
1276,browserslist/browserslist,"Front-end tools,Target browsers,Autoprefixer,Stylelint,babel-preset-env"
1277,primer/css,"CSS design system,GitHub"
1278,roots/sage,"WordPress starter theme,Laravel Blade,Components and templates,Tailwind CSS,Modern development workflow"
1279,alibaba/tengine,"Nginx distribution,Advanced features"
1280,segmentio/evergreen,"Evergreen React UI Framework,Segment,Modular and Composable UI Components,Design System and Style Guide,Cross-Platform Compatibility,Performance and Optimization,Community and Contribution,Documentation and Resources"
1281,fogleman/primitive,Reproducing images with geometric primitives
1282,ramsey/uuid,"PHP library,Universally unique identifiers (UUIDs),Snowflake PHP library"
1283,redis/ioredis,"Redis client for Node.js,Performance-focused,Full-featured"
1284,idank/explainshell,Matching command-line arguments to their help text
1285,davisking/dlib,"Machine Learning,Data Analysis,C++ Programming,Real-World Applications"
1286,xgrommx/awesome-redux,"Redux,Examples,Middlewares"
1287,linnovate/mean,"MEAN stack,Mongo,Express,Angular(6),Node.js"
1288,projectlombok/lombok,"Java Programming Language,Spicy Additions,Language Enhancements"
1289,react-dates/react-dates,"Internationalization,Mobile-Friendly,Datepicker Library,Web Development"
1290,cloudwu/skynet,A lightweight online game framework
1291,fluent/fluentd,"Fluentd,CNCF,Logging,Layer,Project"
1292,hotwired/stimulus,"JavaScript framework,HTML"
1293,mlc-ai/mlc-llm,"AI model development,AI model optimization,AI model deployment,Native device AI"
1294,google/guice,"Guice,Dependency Injection,Java 8 and above,Google"
1295,graphile/postgraphile,"GraphQL API,PostgreSQL database,Node.js middleware"
1296,dmlc/dgl,"Deep learning on graphs,Python package,Existing DL frameworks"
1297,phpstan/phpstan,"PHP Static Analysis Tool,Code Quality,Bug Detection,Static Analysis,PHP Code Scanning"
1298,gopherjs/gopherjs,"Compiler,Go to JavaScript,Running Go code in a browser"
1299,emqx/emqx,"MQTT broker,IoT (Internet of Things),IIoT (Industrial Internet of Things),Connected vehicles"
1300,reactioncommerce/reaction,"API-first,headless commerce platform,Node.js,React,GraphQL,Docker,Kubernetes"
1301,alibaba/lowcode-engine,"Enterprise-class low-code technology stack,Scale-out design"
1302,tpope/vim-pathogen,"Pathogen.vim,Runtimepath management,Vim plugin management"
1303,erikras/react-redux-universal-hot-example,"Universal webapp boilerplate,Express,React,Redux,Webpack,React-transform"
1304,golang-migrate/migrate,"Database migrations,CLI,Golang library"
1305,h4cc/awesome-elixir,"Elixir,Erlang,Libraries,Resources"
1306,agarrharr/awesome-cli-apps,"Command-line apps,Productivity tools,Data analysis and visualization,Gaming and entertainment"
1307,thanos-io/thanos,"Highly available Prometheus setup,Long-term storage capabilities,CNCF Incubating project"
1308,upx/upx,"UPX introduction,Compression and decompression techniques,File format and structure,Portability across different platforms,Command-line options and parameters,Integration with development environments,Security considerations and potential vulnerabilities,Performance impact and optimization techniques,Community support and contributions,Comparison with other executable packers"
1309,alex000kim/nsfw_data_scraper,"Image data aggregation,NSFW image classification,Training data collection"
1310,wifiphisher/wifiphisher,"Rogue Access Point Framework,Wireless Network Security,Access Point Emulation,Wireless Attack Strategies,Security Testing and Countermeasures"
1311,nodesource/distributions,"NodeSource,Node.js,Binary Distributions"
1312,goreleaser/goreleaser,"Deliver Go binaries,Fast delivery,Easy delivery"
1313,ellisonleao/magictools,"Game Development,Resources"
1314,ddbourgin/numpy-ml,"Machine Learning,Numpy"
1315,rasbt/python-machine-learning-book,"Python Machine Learning book,1st edition,Code repository,Information resource"
1316,sinatra/sinatra,"Web Development,Domain-Specific Language (DSL),Classy Web Development,Official Repository"
1317,chiraggude/awesome-laravel,"Bookmarks,Packages,Tutorials,Videos,Other resources"
1318,phobal/ivideo,"Video client software,Cross-platform compatibility (Mac, Windows, Linux),Access to domestic (Chinese) mainstream video platforms"
1319,postmanlabs/httpbin,"HTTP Request & Response Service,Python,Flask"
1320,reflex-dev/reflex,"Web apps,Python"
1321,kubernetes-sigs/kind,"Kubernetes,Docker,Local Kubernetes Clusters,Testing Kubernetes"
1322,facebook/watchman,"File monitoring,Record-keeping,Automation,Change detection"
1323,twitter/twemproxy,"proxy,memcached,redis,light-weight,fast"
1324,jaredreich/pell,"WYSIWYG text editor,Web editor,Smallest and simplest editor,No dependencies"
1325,siyuan-note/siyuan,"Privacy-first,Self-hosted,Open source,Personal knowledge management software,Typescript,Golang"
1326,tiangolo/typer,"Command-line interface (CLI) development,Python programming language,Type hints in Python,Typer library for building CLIs"
1327,micro/micro,API first development platform
1328,asciinema/asciinema,"Terminal session recording,Screen recording,Video capture,Command-line interface recording"
1329,jindongwang/transferlearning,"Transfer learning,Domain adaptation,Domain generalization,Multi-task learning"
1330,codecentric/spring-boot-admin,"Admin UI,Administration,Spring Boot Applications"
1331,ionic-team/stencil,"Stencil toolchain,Scalable component systems,TypeScript and Web Component standards,Framework-agnostic codebase,Distribution to multiple frameworks (React, Angular, Vue)"
1332,beetbox/beets,"Music library management,MusicBrainz tagging,Organization of music collections"
1333,payloadcms/payload,"backend development,admin UI,TypeScript,open-source software,headless CMS,app framework"
1334,clap-rs/clap,"Command Line Argument Parser,Rust Programming Language,Full-Featured,Fast Performance"
1335,microsoft/qlib,"AI-oriented quantitative investment platform,Qlib's support for diverse machine learning modeling paradigms,Supervised learning,Market dynamics modeling,Reinforcement learning (RL)"
1336,trufflesecurity/trufflehog,"Find credentials,Verify credentials"
1337,jina-ai/clip-as-service,"CLIP models,Image and sentence embedding,Ranking with CLIP models"
1338,cfug/dio,"HTTP client for Dart and Flutter,Global settings,Interceptors,FormData support,Request abortion and cancellation,File uploading and downloading,Requests timeout feature,Custom adapters support"
1339,jonas/tig,Text-mode interface for git
1340,jamiebuilds/babel-handbook,"Babel usage,Babel plugin development"
1341,alexjc/neural-enhance,"Super Resolution,Images,Deep Learning"
1342,elastic/beats,"Beats,Elasticsearch,Logstash,Lightweight shippers"
1343,firebase/functions-samples,"Cloud Functions for Firebase,Sample apps,Popular use cases"
1344,aurelia/framework,"Aurelia 1 framework,sub-modules,entry point"
1345,spotify/annoy,"Nearest Neighbors,C++,Python,Memory Optimization,Disk Loading/Saving"
1346,neutraltone/awesome-stock-resources,"free stock photography,free stock video,free illustrations,free resources,website links"
1347,gabrielecirulli/2048,"1024 game,Android app,clone"
1348,plouc/nivo,"dataviz components,d3 library,React library"
1349,git-lfs/git-lfs,"Git extension,Versioning large files"
1350,getpelican/pelican,"Static site generation,Markdown support,reST (reStructuredText) support,Python programming language"
1351,rocksdanister/lively,"Free and open-source software,Animated desktop wallpapers and screensavers,WinUI 3"
1352,tokio-rs/axum,"Ergonomic web framework,Modular web framework,Tokio,Tower,Hyper"
1353,neo4j/neo4j,Graphs for Everyone
1354,keeweb/keeweb,"Password manager,Cross-platform compatibility,KeePass compatibility"
1355,lokesh/color-thief,"Color palette extraction,Image processing,JavaScript,Browser and Node environment"
1356,sqshq/sampler,"Shell commands execution,Visualization,Alerting,YAML configuration"
1357,thibmaek/awesome-raspberry-pi,"Raspberry Pi tools,Raspberry Pi projects,Raspberry Pi images,Raspberry Pi resources"
1358,exceljs/exceljs,"Excel Workbook Management,Workbook Properties,Worksheet Management,Data Handling,Formulas and Functions,Formatting and Presentation,Collaboration and Sharing,Security and Protection,Automation and VBA,Troubleshooting and Error Handling"
1359,redis/redis-py,"Redis,Python,Client Libraries,Database Management"
1360,255kb/stack-on-a-budget,"Services with free tiers,Mock API tool,Mockoon sponsor"
1361,piotrplenik/clean-code-php,"Clean Code concepts,PHP"
1362,troyeguo/koodo-reader,"ebook manager,ebook reader,sync capabilities,backup capabilities,cross-platform support"
1363,donnemartin/awesome-aws,"Amazon Web Services,AWS Libraries and Open-Source Repos,Guides and Blogs,Resources and Tools"
1364,taye/interact.js,"JavaScript drag and drop,resizing,multi-touch gestures,inertia,snapping,cross-browser compatibility (including IE9+)"
1365,petehunt/react-howto,"React Ecosystem Guide,Overwhelming Nature of React Ecosystem,React Components and Reusability,State Management in React,React Routing and Navigation,React Performance Optimization,React Testing Strategies,React Ecosystem Tools and Libraries,Community Support and Resources"
1366,sindresorhus/type-fest,"TypeScript types,Type inference,Type declarations,Type compatibility,Type narrowing,Union types,Intersection types,Generic types,Enum types"
1367,microsoft/semantic-kernel,"LLM technology integration,App development,Cutting-edge technology"
1368,coreui/coreui-free-bootstrap-admin-template,"Bootstrap,Admin Template,Dashboard Template,Free Template"
1369,go-martini/martini,"Classy web framework,Go programming language"
1370,logspace-ai/langflow,"Langflow,UI for LangChain,react-flow,experiment and prototype flows"
1371,sql-js/sql.js,"JavaScript library,SQLite,Web technology"
1372,jart/cosmopolitan,"Build-once Run-anywhere,C Library"
1373,docker-mailserver/docker-mailserver,"Mail server,Fullstack,Containerization,SMTP,IMAP,LDAP,Antispam,Antivirus"
1374,scipy/scipy,"SciPy library,Main repository"
1375,fortra/impacket,"Python,Network Protocols,Impacket"
1376,downshift-js/downshift,"React,WAI-ARIA compliance,autocomplete components,combobox components,select dropdown components"
1377,charmbracelet/vhs,"CLI home video recorder,Recording and playback functionality,Video format standards,Device control and interaction"
1378,qarmin/czkawka,"Duplicate file detection,Empty folder identification,Similar image recognition"
1379,jessepollak/card,"Credit Card Form Improvement,Code Implementation,User Experience Optimization"
1380,star7th/showdoc,"ShowDoc tool,IT team,Online document sharing,API and technical documentation"
1381,analysis-tools-dev/static-analysis,"static analysis,SAST tools,linters,code quality improvement,programming languages,configuration files,build tools"
1382,wenzhixin/bootstrap-table,"Integration with CSS frameworks,Table extension,Support for popular frameworks: Bootstrap, Semantic UI, Bulma, Material Design, Foundation, Vue.js"
1383,allenai/allennlp,"Natural Language Processing,Open-source Software,PyTorch"
1384,pion/webrtc,"Pure Go implementation,WebRTC API"
1385,yoavbls/pretty-ts-errors,"TypeScript,Error Handling,VSCode,User Experience"
1386,openresty/openresty,"High Performance Web Platform,Nginx,LuaJIT"
1387,whyour/qinglong,"定时任务管理平台,Timed task management platform,Python3,JavaScript,Shell,Typescript"
1388,facebookresearch/detr,"End-to-End Object Detection,Transformers,DETR (DEtection TRansformer),Training Data,Model Architecture,Training Process,Results and Performance,Conclusion"
1389,humiaozuzu/awesome-flask,"Flask resources,Flask plugins,Awesome curated list"
1390,casesandberg/react-color,"Color Pickers,Sketch,Photoshop,Chrome,Github,Twitter"
1391,majodev/google-webfonts-helper,"Self-hosting Google Fonts,Font file formats (eot, ttf, svg, woff, woff2),CSS snippets"
1392,overleaf/overleaf,Web-based collaborative LaTeX editor
1393,openai/evals,"Evals framework,LLM evaluation,Open-source,Benchmark registry"
1394,knadh/listmonk,"High performance,self-hosted,newsletter management,mailing list management,modern dashboard,single binary application"
1395,duckdb/duckdb,"Database Management System,SQL,OLAP,In-process"
1396,the-control-group/voyager,"Voyager,Laravel Admin,Features,Customization,Community & Support,Extensibility"
1397,javascript-obfuscator/javascript-obfuscator,"Obfuscator,JavaScript,Node.js"
1398,theonedev/onedev,"Self-hosted Git Server,CI/CD,Kanban"
1399,k4m4/terminals-are-sexy,"Terminal frameworks,CLI plugins,CLI resources"
1400,airbytehq/airbyte,"Data integration,ELT pipelines,APIs,Databases,Files,Warehouses,Data lakes"
1401,ajeetdsouza/zoxide,"Smarter cd command,Shell compatibility"
1402,edgedb/edgedb,"graph-relational database,declarative schema,built-in migration system,next-generation query language"
1403,binwiederhier/ntfy,"Send push notifications,Phone push notifications,Desktop push notifications,HTTP methods for push notifications (PUT/POST)"
1404,tachyons-css/tachyons,"Functional CSS,Human-readable and understandable code,Productivity and efficiency improvements,CSS preprocessors and their limitations,Overcoming specificity issues,Utility-first approach to CSS,Tailwind CSS and its features,CSS framework comparison,Performance optimization techniques"
1405,radix-ui/primitives,"Radix Primitives,Open-Source UI Component Library,Design Systems,Web Apps,@workos"
1406,davatorium/rofi,"Rofi,window switcher,application launcher,dmenu replacement"
1407,google/blockly,Web-based visual programming editor
1408,lnishan/awesome-competitive-programming,"Competitive Programming,Algorithms,Data Structures"
1409,awslabs/git-secrets,Preventing secrets and credentials from being committed to git repositories
1410,ktorio/ktor,"Connected applications,Kotlin programming language,Rapid application development,Minimal effort framework"
1411,ccampbell/mousetrap,"Keyboard shortcuts,Javascript library"
1412,ardanlabs/gotraining,"Introduction to Go,Go Programming Basics,Packages and Imports,Variables and Data Types,Constants,Operators and Expressions,Control Flow Statements,Functions in Go,Arrays, Slices, and Maps,Structs and Methods,Interfaces in Go,Concurrency and Goroutines,Error Handling,Testing and Debugging,Modules and Build Systems,Standard Library Overview"
1413,nightwatchjs/nightwatch,"End-to-end testing,Node.js,W3C Webdriver API"
1414,systemd/systemd,"systemd System and Service Manager,systemd Architecture,System and Service Management,systemd Units and Dependencies,Service Lifecycle and Automation,System Boot and Initialization,systemd Timers and Schedules,System Resource Management,systemd Integration and Adoption,Troubleshooting and Debugging systemd Issues"
1415,30-seconds/30-seconds-of-interviews,"Interview preparation,Common interview questions,Curated collection of questions"
1416,peers/peerjs,"Simple peer-to-peer,WebRTC"
1417,janishar/mit-deep-learning-book-pdf,"Deep Learning,Machine Learning,Artificial Intelligence,Computer Science,Ian Goodfellow,Yoshua Bengio,Aaron Courville"
1418,realm/realm-java,"Mobile database,Realm database,SQLite replacement,ORM replacement"
1419,spatie/laravel-permission,Associate users with roles and permissions
1420,highcharts/highcharts,"Highcharts JS,JavaScript charting framework"
1421,onivim/oni,"Oni,Modern Modal Editing,Neovim"
1422,webview/webview,"Cross-platform webview library,C/C++/Golang programming languages,WebKit and Edge browser engines"
1423,shipshapecode/shepherd,"User Onboarding,App Tour,User Guidance,User Experience,User Interface,User Engagement"
1424,getzola/zola,"static site generator,single binary,built-in features,Zola"
1425,gitpod-io/gitpod,"developer platform,on-demand cloud development environments,software creation,speed,security"
1426,leptos-rs/leptos,"Rust programming language,Web development,Application building,Performance optimization"
1427,terkelg/awesome-creative-coding,"Generative Art,Data Visualization,Interaction Design,Resources"
1428,luin/medis,"Mac database management application,Redis,Medis application"
1429,mementum/backtrader,"Python programming language,Backtesting,Trading strategies,Library/Tool recommendation"
1430,threat9/routersploit,"Exploitation Framework,Embedded Devices,Vulnerabilities,Attack Surface,Security Assessment,Penetration Testing,Exploit Development,Automation,Modularity,Device Exploitation"
1431,docker/labs,"Docker,Tutorials,Contributions"
1432,kmario23/deep-learning-drizzle,"Deep Learning,Reinforcement Learning,Machine Learning,Computer Vision,Natural Language Processing (NLP)"
1433,vim-syntastic/syntastic,"Syntax checking,Vim hacks,Code editing"
1434,wasabeef/recyclerview-animators,"Android,Animation,RecyclerView,ItemAnimator"
1435,jbranchaud/til,"Text Extraction,Data Processing,Natural Language Understanding,JSON Formatting"
1436,github/gh-ost,GitHub's Online Schema-migration Tool for MySQL
1437,fkhadra/react-toastify,"React,Notifications,Ease of Use"
1438,ptmt/react-native-macos,"React Native for macOS,Experimental Fork,Desktop Apps,Cocoa"
1439,dask/dask,"Parallel computing,Task scheduling"
1440,monkeytypegame/monkeytype,"Customizable typing website,Minimalistic design,Multiple features,Test modes,Progress tracking,Speed improvement"
1441,cosmtrek/air,Live reload for Go apps
1442,github-linguist/linguist,"Language Savant,Repository's language,Incorrect reporting,Pull request"
1443,amplication/amplication,"Open-source backend development platform,Production-ready services,Repetitive coding"
1444,dbcli/pgcli,"Postgres CLI,autocompletion,syntax highlighting"
1445,rook/rook,"Storage Orchestration,Kubernetes,Container Storage,Persistent Volumes,Storage Classes,Dynamic Provisioning,Storage Plugins,Data Persistence,Containerized Workloads"
1446,matrix-org/synapse,"Synapse,Matrix homeserver,Python,Twisted"
1447,picturepan2/spectre,"Spectre.css,Lightweight CSS Framework,Responsive Design,Modern Aesthetics,CSS Framework Features"
1448,sympy/sympy,"Computer algebra system,Pure Python environment"
1449,lowlighter/metrics,"Infographics generator,Plugins and options,GitHub stats,Output formats: SVG, Markdown, PDF, JSON"
1450,aspnetboilerplate/aspnetboilerplate,"ASP.NET Boilerplate,Web Application Framework,Modular Architecture,Layered Architecture,Domain-Driven Design,Multi-Tenant Applications,Authentication and Authorization,Validations and Data Transfer Objects,Setting Management,Auditing and Logging,Email Sending,Distributed Caching,Background Jobs,Plug-in System"
1451,atuinsh/atuin,"✨ Magical shell history,Command Line Magic,Productivity Tips,Power User Tricks,Scripting and Automation,Security and Privacy Considerations"
1452,akiran/react-slick,"React,Carousel Component,Slides and Track,Arrow Navigation,Dot Navigation,Auto Play and Delay,Responsive Design,Dynamic Data,Performance Optimization,Accessibility"
1453,atomiks/tippyjs,"Tooltip,Popover,Dropdown,Menu library"
1454,tensorflow/playground,"Neural Networks,Machine Learning,AI,Deep Learning,Natural Language Processing"
1455,howdyai/botkit,"Botkit,open source developer tool,building chat bots,apps,custom integrations,major messaging platforms"
1456,kubernetes/community,"Kubernetes community content,Kubernetes Community Days,Kubernetes Forums,Kubernetes Community Blog,Kubernetes Community Meeting"
1457,espressif/arduino-esp32,"Arduino core,ESP32 microcontroller,Arduino ecosystem,WiFi and Bluetooth capabilities,Development and customization,Community and support"
1458,karpathy/char-rnn,"Multi-layer Recurrent Neural Networks,LSTM,GRU,RNN,Character-level language models,Torch"
1459,denoland/fresh,Next-gen web framework
1460,jxnblk/mdx-deck,♠️ React MDX-based presentation decks
1461,zaproxy/zaproxy,The ZAP core project
1462,jedisct1/libsodium,"Modern crypto library,Portability,Ease of Use"
1463,labring/sealos,"Kubernetes,Cloud Computing,Public Clouds,Private Clouds,Sealos (Kubernetes distribution)"
1464,callstack/react-native-paper,"Material Design,React Native,Android,iOS"
1465,pxb1988/dex2jar,"Android .dex files,Java .class files,Tools for working with .dex and .class files"
1466,stylus/stylus,"CSS language,NodeJS"
1467,androidannotations/androidannotations,"Fast Android Development,Easy Maintenance"
1468,google/wire,"Dependency Injection,Compile-time Dependency Injection,Go Programming Language,DI Container,Dependency Management,Inversion of Control,Modular and Testable Code"
1469,soumith/ganhacks,"Generative Adversarial Networks,Training GANs,Stability Issues,Evaluation Metrics,Applications of GANs"
1470,material-theme/vsc-material-theme,"Material Theme,Visual Studio Code,Epic Theme"
1471,visgl/deck.gl,"WebGL2,Visualization,Framework"
1472,jaredpalmer/razzle,"Server-rendered universal JavaScript applications,Zero configuration required"
1473,vitejs/awesome-vite,"Vite.js,Awesome List,Curated Resources"
1474,ant-design/ant-design-mobile,"UI blocks,Mobile web apps,Essential UI elements"
1475,cjwirth/awesome-ios-ui,"iOS Development,UI/UX Design,Libraries,User Interface,User Experience"
1476,apple/turicreate,"Machine Learning,Model Development,Turi Create"
1477,ffmpegwasm/ffmpeg.wasm,"FFmpeg for browser,WebAssembly"
1478,danielgatis/rembg,"Image editing,Background removal,Tool,Rembg"
1479,vercel/vercel,"Development,Preview,Shipping"
1480,pedroslopez/whatsapp-web.js,"WhatsApp client library,NodeJS,WhatsApp Web browser app"
1481,facebook/react-devtools,"React component hierarchy inspection,Chrome Developer Tools extension,Firefox Developer Tools extension"
1482,firefly-iii/firefly-iii,"Personal Finance Management,Budgeting and Expense Tracking,Financial Reports and Analysis,Multiple Account Management,Transaction Management,Security and Privacy,Mobile Accessibility,Community and Support"
1483,espressif/esp-idf,"Espressif IoT Development Framework,Espressif SoCs"
1484,snabbdom/snabbdom,"Virtual DOM,Simplicity,Modularity,Powerful Features,Performance"
1485,keen/dashboards,"Responsive dashboard templates,Data visualization,UI design,User experience,Interactive features"
1486,remarkjs/react-markdown,"React,Markdown,Component Development,User Interface,Text Formatting,Syntax Highlighting"
1487,bloomberg/memray,"Memory profiler,Python"
1488,glfw/glfw,"Multi-platform library,OpenGL,OpenGL ES,Vulkan,Window management,Input handling"
1489,ydataai/ydata-profiling,"Data Quality Profiling,Exploratory Data Analysis,Pandas,Spark DataFrames"
1490,invertase/react-native-firebase,"Firebase implementation for React Native,Feature-rich and well-tested,Modular design,Cross-platform support for iOS and Android,Comprehensive coverage of Firebase services"
1491,dbcli/mycli,"Terminal Client for MySQL,AutoCompletion,Syntax Highlighting"
1492,vuejs/pinia,"Store for Vue,Composition API,DevTools support,Type safety,Lightweight and flexible design"
1493,nasa/openmct,Web-based mission control framework
1494,crimx/ext-saladict,"All-in-one professional pop-up dictionary,Page translator,Multiple search modes,Page translations,New word notebook,PDF selection searching"
1495,vuejs/vue-hackernews-2.0,"HackerNews clone,Vue 2.0,vue-router,vuex,server-side rendering"
1496,tymondesigns/jwt-auth,"JSON Web Token Authentication,Laravel,Lumen"
1497,serverless/examples,"Serverless Examples,Serverless Framework,AWS Lambda,Microsoft Azure,Google Cloud Functions"
1498,coredns/coredns,"CoreDNS,DNS server,plugins"
